# schema: mycobot_lfd_trajectory
# version: 1
# trial_id: line_sample
# shape: line
# source: synthetic
# frames: {reference: workpiece, tool: joint6_flange}
# workpiece:
#   parent: g_base
#   xyz: [0.13, -0.06, 0.05]
#   rpy: [0.0, 0.0, 0.0]
# sample_rate_hz: 100.0
# weaving: {amplitude_m: 0.005, frequency_hz: 1.0, travel_speed_mps: 0.01}
# created: '2026-07-16T00:00:00'
t,x,y,z,qw,qx,qy,qz
0.000000,0.000000,0.000000,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.010000,0.000100,0.000314,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.020000,0.000200,0.000627,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.030000,0.000300,0.000937,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.040000,0.000400,0.001243,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.050000,0.000500,0.001545,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.060000,0.000600,0.001841,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.070000,0.000700,0.002129,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.080000,0.000800,0.002409,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.090000,0.000900,0.002679,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.100000,0.001000,0.002939,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.110000,0.001100,0.003187,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.120000,0.001200,0.003423,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.130000,0.001300,0.003645,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.140000,0.001400,0.003853,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.150000,0.001500,0.004045,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.160000,0.001600,0.004222,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.170000,0.001700,0.004382,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.180000,0.001800,0.004524,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.190000,0.001900,0.004649,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.200000,0.002000,0.004755,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.210000,0.002100,0.004843,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.220000,0.002200,0.004911,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.230000,0.002300,0.004961,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.240000,0.002400,0.004990,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.250000,0.002500,0.005000,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.260000,0.002600,0.004990,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.270000,0.002700,0.004961,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.280000,0.002800,0.004911,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.290000,0.002900,0.004843,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.300000,0.003000,0.004755,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.310000,0.003100,0.004649,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.320000,0.003200,0.004524,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.330000,0.003300,0.004382,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.340000,0.003400,0.004222,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.350000,0.003500,0.004045,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.360000,0.003600,0.003853,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.370000,0.003700,0.003645,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.380000,0.003800,0.003423,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.390000,0.003900,0.003187,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.400000,0.004000,0.002939,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.410000,0.004100,0.002679,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.420000,0.004200,0.002409,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.430000,0.004300,0.002129,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.440000,0.004400,0.001841,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.450000,0.004500,0.001545,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.460000,0.004600,0.001243,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.470000,0.004700,0.000937,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.480000,0.004800,0.000627,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.490000,0.004900,0.000314,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.500000,0.005000,0.000000,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.510000,0.005100,-0.000314,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.520000,0.005200,-0.000627,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.530000,0.005300,-0.000937,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.540000,0.005400,-0.001243,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.550000,0.005500,-0.001545,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.560000,0.005600,-0.001841,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.570000,0.005700,-0.002129,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.580000,0.005800,-0.002409,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.590000,0.005900,-0.002679,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.600000,0.006000,-0.002939,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.610000,0.006100,-0.003187,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.620000,0.006200,-0.003423,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.630000,0.006300,-0.003645,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.640000,0.006400,-0.003853,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.650000,0.006500,-0.004045,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
0.660000,0.006600,-0.004222,0.008000,0.0000000,1.0000000,0.0000000,0.0000000
